,Label,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
0,Netral,apa dia ngerti,"['apa', 'dia', 'ngerti']",['ngerti'],['ngerti']
1,Netral,,[''],[''],['']
2,Negatif,suara sumbang ancam konstitusi marwah desa diinjak injak sendiri oleh para kepala desanya warga desa sebagai pemegang kedaulatan desa perlu bersuara sikap mereka berpegang teguh pada konstitusi jadi kabar baik bagi masa depan bangsa,"['suara', 'sumbang', 'ancam', 'konstitusi', 'marwah', 'desa', 'diinjak', 'injak', 'sendiri', 'oleh', 'para', 'kepala', 'desanya', 'warga', 'desa', 'sebagai', 'pemegang', 'kedaulatan', 'desa', 'perlu', 'bersuara', 'sikap', 'mereka', 'berpegang', 'teguh', 'pada', 'konstitusi', 'jadi', 'kabar', 'baik', 'bagi', 'masa', 'depan', 'bangsa']","['suara', 'sumbang', 'ancam', 'konstitusi', 'marwah', 'desa', 'diinjak', 'injak', 'kepala', 'desanya', 'warga', 'desa', 'pemegang', 'kedaulatan', 'desa', 'bersuara', 'sikap', 'berpegang', 'teguh', 'konstitusi', 'kabar', 'bangsa']","['suara', 'sumbang', 'ancam', 'konstitusi', 'marwah', 'desa', 'injak', 'injak', 'kepala', 'desa', 'warga', 'desa', 'pegang', 'daulat', 'desa', 'suara', 'sikap', 'pegang', 'teguh', 'konstitusi', 'kabar', 'bangsa']"
3,Negatif,banyak tong bahkan lbh baik siapa buka matamu itu gimmick akalan kaum togog pengin nambah periode utang menggunung ekonomi amburadul tdl listrik bbm cukai pajak sembako dll dinaikkan begitu kok mau tambah periode mikir periode,"['banyak', 'tong', 'bahkan', 'lbh', 'baik', 'siapa', 'buka', 'matamu', 'itu', 'gimmick', 'akalan', 'kaum', 'togog', 'pengin', 'nambah', 'periode', 'utang', 'menggunung', 'ekonomi', 'amburadul', 'tdl', 'listrik', 'bbm', 'cukai', 'pajak', 'sembako', 'dll', 'dinaikkan', 'begitu', 'kok', 'mau', 'tambah', 'periode', 'mikir', 'periode']","['tong', 'lbh', 'buka', 'matamu', 'gimmick', 'akalan', 'kaum', 'togog', 'pengin', 'nambah', 'periode', 'utang', 'menggunung', 'ekonomi', 'amburadul', 'tdl', 'listrik', 'bbm', 'cukai', 'pajak', 'sembako', 'dll', 'dinaikkan', 'periode', 'mikir', 'periode']","['tong', 'lbh', 'buka', 'mata', 'gimmick', 'akal', 'kaum', 'togog', 'pengin', 'nambah', 'periode', 'utang', 'gunung', 'ekonomi', 'amburadul', 'tdl', 'listrik', 'bbm', 'cukai', 'pajak', 'sembako', 'dll', 'naik', 'periode', 'mikir', 'periode']"
4,Negatif,jokowi klaim usulan periode dari masyarakat masyarakat yang mana nih periode,"['jokowi', 'klaim', 'usulan', 'periode', 'dari', 'masyarakat', 'masyarakat', 'yang', 'mana', 'nih', 'periode']","['jokowi', 'klaim', 'usulan', 'periode', 'masyarakat', 'masyarakat', 'nih', 'periode']","['jokowi', 'klaim', 'usul', 'periode', 'masyarakat', 'masyarakat', 'nih', 'periode']"
5,Negatif,istana ndableg kita tetap demo,"['istana', 'ndableg', 'kita', 'tetap', 'demo']","['istana', 'ndableg', 'demo']","['istana', 'ndableg', 'demo']"
6,Positif,reformasi jilid menanti gantian periode,"['reformasi', 'jilid', 'menanti', 'gantian', 'periode']","['reformasi', 'jilid', 'gantian', 'periode']","['reformasi', 'jilid', 'ganti', 'periode']"
7,Positif,maju terus mhsiswa seluruh bersama rakyat panjang umur perjuangan periode ugalan si si official,"['maju', 'terus', 'mhsiswa', 'seluruh', 'bersama', 'rakyat', 'panjang', 'umur', 'perjuangan', 'periode', 'ugalan', 'si', 'si', 'official']","['maju', 'mhsiswa', 'rakyat', 'umur', 'perjuangan', 'periode', 'ugalan', 'si', 'si', 'official']","['maju', 'mhsiswa', 'rakyat', 'umur', 'juang', 'periode', 'ugalan', 'si', 'si', 'official']"
8,Negatif,ormas dan dukungan abal masih akan ada lagi lbp moeldoko masih akan mengerahkan begundalnya kita lawan,"['ormas', 'dan', 'dukungan', 'abal', 'masih', 'akan', 'ada', 'lagi', 'lbp', 'moeldoko', 'masih', 'akan', 'mengerahkan', 'begundalnya', 'kita', 'lawan']","['ormas', 'dukungan', 'abal', 'lbp', 'moeldoko', 'mengerahkan', 'begundalnya', 'lawan']","['ormas', 'dukung', 'abal', 'lbp', 'moeldoko', 'kerah', 'begundal', 'lawan']"
9,Negatif,semakin dahsyat untuk mencapai nafsu kekuasaan,"['semakin', 'dahsyat', 'untuk', 'mencapai', 'nafsu', 'kekuasaan']","['dahsyat', 'mencapai', 'nafsu', 'kekuasaan']","['dahsyat', 'capai', 'nafsu', 'kuasa']"
